,job_title,company,experience,min exp,max exp,salary,base salary,max salary,location,jobListed(days ago),postedIn,rating,reviews count,details,salary data provide by
538,Associate Merchandiser - Furniture & Dec - Data Analyst,"Williams-Sonoma, Inc.",2-6 Yrs,2.0,6.0,,,,Gurgaon / Gurugram,30.0,Naukri,3.2,19.0,"Supply chain management, Data analysis, data integrity",
539,Data Analyst,Leuwint technologies,5-9 Yrs,5.0,9.0,,,,Riyadh,27.0,Naukri,3.5,6.0,"data extraction, Data Analysis, data mapping",
540,Data Engineer/ Data Analyst,Chryselys,2-6 Yrs,2.0,6.0,,,,"Chennai, Hyderabad / Secunderabad",26.0,Naukri,3.8,21.0,"Life Sciences, ADF, DW",
541,Data Analyst,Lepton Software Export & Research Pvt Ltd,8-12 Yrs,8.0,12.0,,,,Gurgaon / Gurugram,60.0,Naukri,3.9,92.0,"FMCG, Telecom, Logistics",
542,Data Analyst - SQL/Python (5-7 yrs),Talpro,5-7 Yrs,5.0,7.0,,,,Bangalore / Bengaluru,7.0,hirist,4.0,5.0,"Data Analyst, Data Analytics, Tableau",
543,Data Analyst,TECHPLUS MEDIA PRIVATE LIMITED,2-3 Yrs,2.0,3.0,,,,New Delhi,6.0,Naukri,3.4,12.0,Data Analyst,
544,Lead Data Analyst,Ecolab Digital Center,6-8 Yrs,6.0,8.0,,,,Bangalore / Bengaluru,60.0,Naukri,3.6,90.0,"data science, lead data analyst, Mathematics",
545,Data Analyst,Leuwint Technologies,5-10 Yrs,5.0,10.0,,,,Saudi arabia,29.0,Naukri,3.5,6.0,"Data Reconciliation, Data Migration, Data Analysis",
546,UAV Data Analyst,Prakhar Software Solutions,3-8 Yrs,3.0,8.0,,,,New Delhi,25.0,Naukri,3.3,54.0,"Data analysis, Assurance, Data collection",
547,Data Analyst,Crown Clothing Pvt. Ltd.,2-6 Yrs,2.0,6.0,₹ 3 - 3.5L/yr,300000.0,350000.0,"Thakurpukur Mahestola, Budge Budge, Kolkata",1.0,Naukri,3.3,9.0,"Google Sheets, Google Data Studio, Data Automation",Salary Listed by Company
548,Data Analyst - Power BI,Creative Synergies Consulting India Pvt. Ltd.,5-10 Yrs,5.0,10.0,,,,Bangalore / Bengaluru,365.0,Naukri,4.1,371.0,"power bi, Data Analyst, SQL",
549,Master Data Analyst,Oriflame Cosmetics Ltd,3-5 Yrs,3.0,5.0,,,,New Delhi,365.0,Naukri,3.8,233.0,"General accounting, Automation, IFS",
550,Data Analyst - Power BI,Creative Synergies Consulting India Pvt. Ltd.,5-10 Yrs,5.0,10.0,,,,Bangalore / Bengaluru,365.0,Naukri,4.1,371.0,"power bi, Data Analyst, SQL",
